Variable Name,Description,Prompt,Data Type,Permisible Values,Units,Required,Unique,CDE,"Comments (Optional, Form Collection Name)"
32730-howreceive,How should at-home test kits be delivered to participant,Please let us know how you would like to receive your at-home COVID-19 test kit. There is no cost to you.,Categorical,"1, Deliver to me; 2, I will pick-up from VCU; 3, Hospitalized at VCUHS – deliver to room",,TRUE,,,Confirm Your Shipping Address
29858-Shipping_placement,Where should at-home test kits be left for the participant,Where should we leave the kit? (Please wear a mask if you plan to meet the delivery driver),Categorical,"1, At my front door; 2, With a front desk; 3, Call me when you get here; 4, Other",,TRUE,,,Confirm Your Shipping Address
32147-delivery_updates,How should delivery confirmation be provided to participant,How would you like to receive delivery confirmation updates for this kit delivery?,Categorical,"1, Email me; 2, Text me; 3, I don't want to receive delivery confirmation",,TRUE,,,Confirm Your Shipping Address
32150-preferred_time,"When should the kit be delivered, time that is good for participant","To avoid the kit being left unattended, please let us know what time we should deliver the kit when someone can receive it. (Orders placed after 3pm will arrive the next business day).",Categorical,"1, Anytime between 9am - 7pm; 2, 8am - 12pm; 3, 12pm - 3pm; 4, 3pm - 7pm; 5, I am unable to receive a package at this time",,TRUE,,,Confirm Your Shipping Address
Kit Received Confirmation Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""I Received My Testing Kit""",,Integer,De-identified Value in Days,Days,FALSE,,,
29871-KitReceived_response,Participant confirmation of kit possession,Please confirm when you have received your kit. You can return to this page at any time.,Categorical,"1, Yes, I received the kit; 2, No, still waiting to receive the kit",,TRUE,,,I Received My Testing Kit
29889-Kit_date_DEID,Number of days from day of Consent when Participant received the at-home test kits,Please confirm the date you received the test kit.,Integer,De-identified Value in Days,Days,TRUE,,,I Received My Testing Kit
About You Confirmation Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""About You""",,Integer,De-identified Value in Days,Days,FALSE,,,
30681-Gender_specify,Other Gender Details,"Other Gender, please specify:",Text,,,FALSE,,,About You
32144-DOB_pnta,Participant declines to share Date of Birth,Select this if you are not willing to share your date of birth:,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,About You
33470-_DOB_Validation,"System generated variable, not required",,Text,,,FALSE,,,About You
30072-Household,Participant housing/living conditions,How would you describe your current household/living arrangements?,Categorical,"1, House or single family home; 9, Townhome or Duplex; 2, High-rise apartment/condo building (Your front door is not exposed to the outside); 3, Garden-style apartment/condo (Your front door is exposed to the outside); 4, Nursing home or assisted living facility; 5, Mobile home; 6, Group home or rehab facility; 11, Military Base; 10, Homeless or Transient; 7, Other; 999, Prefer not to answer",,TRUE,,,About You
30426-housetype_specify,Other House Type Details,"Other House Type, please specify:",Text,,,TRUE,,,About You
30075-Other_household,Total number of other people living in participant's home,"How many people, other than you, live in the same household with you?

Please enter the number below.",Categorical,"1, Just Myself; 2, 1; 3, 2; 4, 3; 5, 4; 6, Other (5 or more); 999, Prefer not to answer",,TRUE,,,About You
30428-housecount_specify,Number of people other that the participant that live in the home:,Please provide the number of people other than you that live in the household:,Integer,Number of people,People,FALSE,,,About You
30429-DOB_Age_DEID,Age of participant,What is your date of birth?,Integer,Age in years; de-identification per RADx guideline,Years,TRUE,,Age,About You
30081-general_health,General Health Response,How would you rate your general health?,Categorical,"1, Excellent; 2, Very good; 3, Good; 4, Fair; 5, Poor; 999, Prefer not to answer",,TRUE,,Health Status,About You
30082-Race-1,Race selected; White,What is your race? White,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Race,About You
30082-Race-2,Race selected; Black or African American,What is your race? Black or African American,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Race,About You
30082-Race-3,Race selected; Asian,What is your race? Asian,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Race,About You
30082-Race-4,Race selected; American Indian or Alaska Native,What is your race? American Indian or Alaska Native,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Race,About You
30082-Race-5,Race selected; Native Hawaiian or Other Pacific Islander,What is your race? Native Hawaiian or Other Pacific Islander,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Race,About You
30082-Race-6,Race selected; Other,What is your race? Other,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Race,About You
30082-Race-998,Race selected; None of the above,What is your race? None of the above,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Race,About You
30082-Race-999,Race selected; Prefer not to answer,What is your race? Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Race,About You
30680-race_specify,Other Race Details,"Other race, please specify:",Text,,,FALSE,,,About You
30085-Ethnicity,Ethnicity,What is your ethnicity?,Categorical,"1, Hispanic or Latino; 2, Non-Hispanic or Latino; 3, Unknown; 999, Prefer not to answer",,TRUE,,Ethnicity,About You
30086-Gender-1,Gender identity selected; Man,What terms best express how you describe your gender identity? Man,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30086-Gender-2,Gender identity selected; Woman,What terms best express how you describe your gender identity? Woman,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30086-Gender-3,Gender identity selected; Non-Binary,What terms best express how you describe your gender identity? Non-Binary,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30086-Gender-5,Gender identity selected; Transgender,What terms best express how you describe your gender identity? Transgender,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30086-Gender-999,Gender identity selected; Prefer not to answer,What terms best express how you describe your gender identity? Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32726-Gender_more-1,Closer description of gender identity selected; Trans man/Transgender Man/FTM,Are any of these a closer description to your gender identity? Trans man/Transgender Man/FTM,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32726-Gender_more-3,Closer description of gender identity selected; Genderqueer,Are any of these a closer description to your gender identity? Genderqueer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32726-Gender_more-4,Closer description of gender identity selected; Genderfluid,Are any of these a closer description to your gender identity? Genderfluid,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32726-Gender_more-7,Closer description of gender identity selected; Questioning or unsure of your gender identity,Are any of these a closer description to your gender identity? Questioning or unsure of your gender identity,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32726-Gender_more-999,Closer description of gender identity selected; Prefer not to answer,Are any of these a closer description to your gender identity? Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32727-Gender_specify,Other Gender Details,"Other Gender, please specify:",Text,,,FALSE,,,About You
30090-Birthsex,Sex at Birth,What was your biological sex assigned at birth?,Categorical,"1, Female; 2, Male; 7, Other; 999, Prefer not to answer",,TRUE,,Sex,About You
30091-Education,Education Reached,What is the highest grade or year of school you completed?,Categorical,"1, Never attended school or only attended kindergarten; 2, Grades 1 through 4 (Primary); 3, Grades 5 through 8 (Middle school); 4, Grades 9 through 11 (Some high school); 5, Grade 12 or GED (High school graduate); 6, 1 to 3 years after high school (Some college, Associate's degree, or technical school); 7, College 4 years or more (College graduate); 8, Advanced degree (Master's, Doctorate, etc.); 999, Prefer not to answer",,TRUE,,Education,About You
32135-annual_income,Income level,What is your annual household income from all sources?,Categorical,"1, Less than $10,000; 2, $10,000 - $24,999; 3, $25,000 - $34,999; 4, $40,000 - $49,999; 5, $50,000 - $74,999; 6, $75,000 - $99,999; 7, $100,000 - $149,999; 8, $150,000 - $199,999; 9, $200,000 or more; 999, Prefer not to answer",,TRUE,,,About You
30712-Height_Feet,Participants height - feet only (used in conjunction with inches),What is you current height? (enter feet and inches separately),Integer,Height in Feet,Feet,FALSE,,Health Status,About You
30713-Height_Inches,Participants height - inches only (used in conjunction with feet),What is you current height? (enter feet and inches separately),Integer,Height in Inches,Inches,FALSE,,Health Status,About You
30097-Height_options,Unable to provide height,"Please provide a selection, if you are unable to provide your current height:",Categorical,"1, I don't know; 2, Prefer not to answer",,FALSE,,,About You
33469-_Height_Success,"System generated variable, not required",,Text,,,FALSE,,,About You
30714-Weight,Participants weight in pounds,What is your current weight (in pounds)?,Integer,Weight in Pounds,Pounds,TRUE,,Health Status,About You
30100-weight_options,Unable to provide weight,"Please provide a selection, if you are unable to provide your current weight:",Categorical,"1, I don't know; 2, Prefer not to answer",,FALSE,,,About You
33480-_Weight_Success,"System generated variable, not required",,Text,,,FALSE,,,About You
30101-ace_medication,ACE medication details,"Are you taking any ACE Inhibitor medications (such as Benazepril, Captopril, Enalapril, Fosinopril, Lisinopril, Moexipril, etc.)?",Categorical,"1, No; 2, Yes; 999, Prefer not to answer",,TRUE,,,About You
30102-blood_type,Blood Type,What is your blood type?,Categorical,"1, O; 2, A; 3, B; 4, AB; 5, Don't know; 999, Prefer not to answer",,TRUE,,,About You
30103-conditionsrisks-14,Following underlying conditions or risk factors selected; Asthma,Do you have any of the following underlying conditions or risk factors? Asthma,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-2,Following underlying conditions or risk factors selected;Diabetes,Do you have any of the following underlying conditions or risk factors? Diabetes,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-3,Following underlying conditions or risk factors selected;Hypertension,Do you have any of the following underlying conditions or risk factors? Hypertension,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-4,Following underlying conditions or risk factors selected;Obesity,Do you have any of the following underlying conditions or risk factors? Obesity,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30103-conditionsrisks-5,Following underlying conditions or risk factors selected;Cardiovascular disease,Do you have any of the following underlying conditions or risk factors? Cardiovascular disease,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-22,Following underlying conditions or risk factors selected;Chronic kidney disease,Do you have any of the following underlying conditions or risk factors? Chronic kidney disease,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-23,Following underlying conditions or risk factors selected;Chronic lung disease,Do you have any of the following underlying conditions or risk factors? Chronic lung disease,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-6,Following underlying conditions or risk factors selected;Renal disease,Do you have any of the following underlying conditions or risk factors? Renal disease,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30103-conditionsrisks-7,Following underlying conditions or risk factors selected;Liver disease,Do you have any of the following underlying conditions or risk factors? Liver disease,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30103-conditionsrisks-15,Following underlying conditions or risk factors selected;Sickle cell disease,Do you have any of the following underlying conditions or risk factors? Sickle cell disease,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-8,Following underlying conditions or risk factors selected;Immunosuppressive disease,Do you have any of the following underlying conditions or risk factors? Immunosuppressive disease,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-16,Following underlying conditions or risk factors selected;Cancer,Do you have any of the following underlying conditions or risk factors? Cancer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-9,Following underlying conditions or risk factors selected;Current smoker (tobacco),Do you have any of the following underlying conditions or risk factors? Current smoker (tobacco),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-10,Following underlying conditions or risk factors selected;Current substance use,Do you have any of the following underlying conditions or risk factors? Current substance use,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30103-conditionsrisks-17,Following underlying conditions or risk factors selected;Current Vape Use,Do you have any of the following underlying conditions or risk factors? Current Vape Use,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-13,"Following underlying conditions or risk factors selected;Mental Health conditions, including serious mental illness","Do you have any of the following underlying conditions or risk factors? Mental Health conditions, including serious mental illness",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Medical History,About You
30103-conditionsrisks-19,Following underlying conditions or risk factors selected;Other,Do you have any of the following underlying conditions or risk factors? Other,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30103-conditionsrisks-20,Following underlying conditions or risk factors selected;I do not have any underlying conditions or risk factors,Do you have any of the following underlying conditions or risk factors? I do not have any underlying conditions or risk factors,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30103-conditionsrisks-999,Following underlying conditions or risk factors selected;Prefer not to answer,Do you have any of the following underlying conditions or risk factors? Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
30715-risks_specify,Other underlying health risks that the participant has indicated,"Other underlying health risks, please specify:",Text,,,TRUE,,,About You
30106-currently_pregnant,Pregnancy Status,Are you currently pregnant?,Categorical,"1, Yes; 2, No; 3, I don't know; 999, Prefer not to answer",,TRUE,,Medical History,About You
30107-alcohol_consume,Alcohol Use,Do you drink alcohol?,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",,TRUE,,Medical History,About You
30108-employed_currently,Employment Status,Are you currently employed?,Categorical,"1, Yes full-time; 3, Yes, part-time; 4, Yes, temporary; 5, No; 999, Prefer not to answer",,TRUE,,Employment,About You
30109-health_professional,Health Professional Status,"Are you a health care or an allied healthcare professional(e.g. medical, nursing, long-term-care facility, dentistry, pharmacy, EMT/paramedic, other)?",Categorical,"1, No; 2, Yes; 999, Prefer not to answer",,TRUE,,,About You
30110-essential_worker,Essential Worker Status,"Are you an essential worker (other than a healthcare professional) required to workin close contact with others (e.g. retail salesperson, cashier, bus/taxi driver, firefighter, police officer, security guard, custodial staff, restaurant staff, housekeeper, childcare worker, construction worker, other)?",Categorical,"1, No; 2, Yes; 999, Prefer not to answer",,TRUE,,,About You
32136-vaccine_didyou,Vaccination Status,Did you receive the COVID-19 vaccine?,Categorical,"1, Yes; 2, No; 4, Not sure, I participated in a COVID-19 vaccination trial; 999, Prefer not to answer",,TRUE,,,About You
32137-vaccine_avail,Vaccination Likeliness to Receive,"When a COVID-19 vaccine is available to you, how likely are you to get vaccinated?",Categorical,"14,  Very likely; 15, Likely; 16, I do not know yet; 17, Unlikely; 18,  Very unlikely",,TRUE,,,About You
32138-vaccine_factors-1,Factors that might make participant less likely to get the vaccine selected; I will not get/am never sick,What factors might make you less likely to get the vaccine? I will not get/am never sick,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-2,Factors that might make participant less likely to get the vaccine selected; It's just a virus/not fatal/not necessary,What factors might make you less likely to get the vaccine? It's just a virus/not fatal/not necessary,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-3,Factors that might make participant less likely to get the vaccine selected; I never get vaccinated,What factors might make you less likely to get the vaccine? I never get vaccinated,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-4,Factors that might make participant less likely to get the vaccine selected; I do not trust the vaccine,What factors might make you less likely to get the vaccine? I do not trust the vaccine,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-5,Factors that might make participant less likely to get the vaccine selected; I do not want to pay for it,What factors might make you less likely to get the vaccine? I do not want to pay for it,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-6,Factors that might make participant less likely to get the vaccine selected; Vaccination location is not convenient,What factors might make you less likely to get the vaccine? Vaccination location is not convenient,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-7,Factors that might make participant less likely to get the vaccine selected; Difficult in making an appointment,What factors might make you less likely to get the vaccine? Difficult in making an appointment,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-8,Factors that might make participant less likely to get the vaccine selected; It depends on the risk/adverse events,What factors might make you less likely to get the vaccine? It depends on the risk/adverse events,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-9,Factors that might make participant less likely to get the vaccine selected; I have not thought about it yet,What factors might make you less likely to get the vaccine? I have not thought about it yet,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-10,Factors that might make participant less likely to get the vaccine selected; I am not in the risk group with underlying conditions,What factors might make you less likely to get the vaccine? I am not in the risk group with underlying conditions,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-11,Factors that might make participant less likely to get the vaccine selected; I need more information first,What factors might make you less likely to get the vaccine? I need more information first,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-12,Factors that might make participant less likely to get the vaccine selected; I already had COVID-19,What factors might make you less likely to get the vaccine? I already had COVID-19,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-13,Factors that might make participant less likely to get the vaccine selected; I am going to let others get it first (herd immunity),What factors might make you less likely to get the vaccine? I am going to let others get it first (herd immunity),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-14,Factors that might make participant less likely to get the vaccine selected; I have had severe allergic reactions to vaccines in the past,What factors might make you less likely to get the vaccine? I have had severe allergic reactions to vaccines in the past,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-15,Factors that might make participant less likely to get the vaccine selected; I am concerned that it will not interact with other medications/treatments that I am currently taking ,What factors might make you less likely to get the vaccine? I am concerned that it will not interact with other medications/treatments that I am currently taking ,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-16,"Factors that might make participant less likely to get the vaccine selected; I am currently pregnant, planning a pregnancy, or breastfeeding","What factors might make you less likely to get the vaccine? I am currently pregnant, planning a pregnancy, or breastfeeding",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-17,Factors that might make participant less likely to get the vaccine selected; Do not know yet,What factors might make you less likely to get the vaccine? Do not know yet,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-18,Factors that might make participant less likely to get the vaccine selected; Other,What factors might make you less likely to get the vaccine? Other,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32138-vaccine_factors-999,Factors that might make participant less likely to get the vaccine selected; Prefer not to answer,What factors might make you less likely to get the vaccine? Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,About You
32139-vaccine_factorsother,Other factors that the participant indicates would make them less likely to receive the vaccine,"Other factors, please specify:",Text,,,TRUE,,,About You
30112-Insurance,Insurance Status,Are you covered by health insurance or some other kind of health care plan?,Categorical,"1, Yes; 2, I don't have health insurance (Self-Pay); 3, No; 5, I don't know; 999, Prefer not to answer",,TRUE,,Insurance Status,About You
30113-Insurance_Plan,Insurance Plan Type,What kind of plan are you covered by?,Categorical,"1, Insurance purchased directly from an insurance company (by you or another family member); 2, Insurance through a current or former employer or union (by you or another family member); 3, Medicare, for people 65 and older or people with certain disabilities; 4, Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or disability; 5, TRICARE or other military health care; 6, Veterans Affairs (VA) (including those who have ever used or enrolled for VA health care) ○ Indian Health Service; 7, Any other type of health insurance or health coverage plan; 999, Prefer not to answer",,TRUE,,,About You
30962-Insurance_specify,Other Insurance Type Details,"Other insurance type, please specify:",Text,,,TRUE,,,About You
30117-Deaf,Deaf Status,Are you deaf or do you have serious difficulty hearing?,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",,TRUE,,Disability Status,About You
30118-Blind,Blind Status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Categorical,"1, Yes; 2, No; 999, Prefer not to answer",,TRUE,,Disability Status,About You
30119-Concentrating,Difficulty Concentrating,"Do you have serious difficulty concentrating, remembering, or making decisions (because of a physical, mental, or emotional condition)?",Categorical,"1, Yes; 2, No; 999, Prefer not to answer",,TRUE,,Disability Status,About You
30120-Walking,Difficulty Walking,Do you have serious difficulty walking or climbing stairs?,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",,TRUE,,Disability Status,About You
30121-Dressing,Difficulty Dressing,Do you have difficulty dressing or bathing?,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",,TRUE,,Disability Status,About You
30122-Errands,Difficulty with Errands,"Do you have difficulty doing errands alone such as visiting a doctor's office or shopping (because of a physical, mental, oremotional condition)?",Categorical,"1, Yes; 2, No; 999, Prefer not to answer",,TRUE,,Disability Status,About You
30123-ColorBlind,Color Blind Status,Have you ever been told that you have color-blindness?,Categorical,"1, Yes; 2, No; 3, Not sure; 999, Prefer not to answer",,TRUE,,,About You
30124-ColorBlind_type,Color Blind Type,"If yes, what kind of color-blindness have you been told you have?",Categorical,"1, Red-green color-blindness; 2, Blue-yellow color-blindness; 3, Complete color-blindness (monochromacy); 4, I'm not sure; 5, Prefer not answer",,TRUE,,,About You
Symptom Screening Confirmation Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""Symptom Screening""",,Integer,De-identified Value in Days,Days,FALSE,,,
30132-covid_tested30,"Last 30 days, COVID Tested Status","In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",Categorical,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30717-covid_tst_date_DEID,Number of days from day of Consent when Participant received a COVID test,What was the date of the coronavirus test that you received in the past 30 days (outside of this research study)?,Integer,De-identified Value in Days,Days,TRUE,,,Symptom Screening
30135-COVID_Result,"Last 30 days, COVID Tested Results",What kind of COVID-19 test did you have?,Categorical,"1, Home-based test (please provide name); 2, Lab-administered diagnostic PCR test; 3, Lab-administered diagnostic antigen test; 4, Lab-administered antibody test; 5, Lab-administered test, unsure of type; 999, Prefer not to answer",,TRUE,,,Symptom Screening
32005-Test_Specify,Name of home test from test in past 30 days related to COVID testing,Please provide the name of the home-based test:,Text,,,TRUE,,,Symptom Screening
30138-COVID_Why-1,"The following best describes why the participant was tested for the Coronavirus, selected; I had coronavirus symptoms (fever, cough, chills, nausea, etc…)","Which of the following best describes why you were tested for the Coronavirus? I had coronavirus symptoms (fever, cough, chills, nausea, etc…)",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30138-COVID_Why-2,"The following best describes why the participant was tested for the Coronavirus, selected; I came into contact with someone who has the coronavirus",Which of the following best describes why you were tested for the Coronavirus? I came into contact with someone who has the coronavirus,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30138-COVID_Why-3,"The following best describes why the participant was tested for the Coronavirus, selected; I want to make sure I don't spread the coronavirus to others",Which of the following best describes why you were tested for the Coronavirus? I want to make sure I don't spread the coronavirus to others,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30138-COVID_Why-4,"The following best describes why the participant was tested for the Coronavirus, selected; I am required by my employer or school",Which of the following best describes why you were tested for the Coronavirus? I am required by my employer or school,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30138-COVID_Why-5,"The following best describes why the participant was tested for the Coronavirus, selected; Other",Which of the following best describes why you were tested for the Coronavirus? Other,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
